steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
830000	4148	15438.391821622849	-154.8468223036611	-119.48905140003586	93.95530012402745	-0.584383595738627	-302.656717999272	-13.949737	-13.973133	0.14946411930024625	0.1462657032907009	820001	-1.1815842	0.00979208666831255
835000	4172	15527.212088108063	-108.06081369415305	-120.47749279277612	37.98374723235074	-0.06062167409725072	-122.3513834061916	-11.870957	-11.873227	0.22751996599137783	0.20169035898521542	825001	-0.89419127	0.010120583698153496
840000	4200	15616.914280891418	-127.62035982653788	-121.58784291590804	82.23563922234668	-0.07175668991382989	-227.03022652835412	-13.6468115	-13.630028	0.1374411714076996	0.14488572347909212	830001	-0.99855286	0.01113126240670681
845000	4224	15746.174812316895	-134.5765428942583	-119.27859536658269	72.9097920264399	-1.8279508037898637	-270.25402950520396	-12.075975	-12.078201	0.1402050807699561	0.16149224616587163	835001	-1.0804219	0.01133777480572462
850000	4248	15860.604453325272	-141.16315799100755	-120.05810150016862	72.79290887239962	-2.35638421125803	-245.01298676656447	-10.52266	-10.471549	0.23353540815413	0.20436369597911835	840001	-0.9745897	0.011249367147684097
855000	4272	15982.97850728035	-190.41136535487092	-223.32211617708703	64.4465275871922	-116.24684619106917	-275.47940799478965	-12.978849	-12.976112	0.16533130262047052	0.14699358578771352	845001	-1.1276975	0.011165959760546684
860000	4300	16083.8402364254	-149.04515727327305	-168.93778259901165	93.10253860664012	-0.12056268486253456	-238.33252562108396	-11.195672	-11.207862	0.16037445364519953	0.14306527763605117	850001	-0.8888651	0.009891081601381302
865000	4324	16204.26535654068	-149.46598850677134	-121.9789744543241	83.81996167253013	-1.3505108429156503	-270.7688436065301	-13.018174	-13.016596	0.21193752128630877	0.1956375604867935	855001	-0.8939352	0.010191593319177628
870000	4348	16293.103902339935	-184.7825719847803	-176.68137949900483	69.1626597996	-116.34499444777144	-269.86641366518774	-11.410666	-11.405391	0.14913928292691708	0.14375789802521466	860001	-1.0484499	0.012278866022825241
875000	4372	16386.72662305832	-157.0271434342952	-121.77565795604454	75.48730313429866	-116.18037450899654	-301.03780653968215	-12.368883	-12.370014	0.16551010601222516	0.12884911738336086	865001	-1.0388724	0.009403707459568977
880000	4400	16476.218131780624	-131.26950937286466	-122.35180333663189	64.71593215214796	-0.2090035146368403	-241.43010962762	-12.922801	-12.925289	0.25709223560988903	0.23275001861155034	870001	-1.1594391	0.01030205562710762
885000	4424	16563.500105381012	-174.41286016245095	-169.99360183748246	58.38094666404827	-116.7703056956802	-249.37739723396163	-12.012873	-12.012749	0.2695608884468675	0.13949704611673952	875001	-0.8939431	0.010429599322378635
890000	4448	16651.766532421112	-157.22525477772479	-125.36389352291658	82.0432804904418	-0.8061539243194831	-261.835366821967	-12.302332	-12.31837	0.18820461466908456	0.19455155968666077	880001	-0.9691826	0.00992594100534916
895000	4472	16738.710372924805	-121.47188926395066	-119.83351952800963	116.21985750740778	-0.11881807664336096	-293.80990308445155	-13.959082	-13.974423	0.21470021329820155	0.19372176203876734	885001	-1.1006688	0.00946294330060482
